date,metric,submetric,value,display
Jan 1 2022,Total births,Total,23731,Number
Apr 1 2022,Total births,Total,24457,Number
Jul 1 2022,Total births,Total,25376,Number
Oct 1 2022,Total births,Total,25895,Number
Jan 1 2023,Total births,Total,23349,Number
Apr 1 2023,Total births,Total,24263,Number
Jul 1 2023,Total births,Total,25278,Number
Oct 1 2023,Total births,Total,25499,Number
Jan 1 2024,Total births,Total,24514,Number
Apr 1 2024,Total births,Total,24556,Number
Jan 1 2022,Births by maternal age,Under 20,494,Number
Apr 1 2022,Births by maternal age,Under 20,477,Number
Jul 1 2022,Births by maternal age,Under 20,537,Number
Oct 1 2022,Births by maternal age,Under 20,518,Number
Jan 1 2023,Births by maternal age,Under 20,483,Number
Apr 1 2023,Births by maternal age,Under 20,513,Number
Jul 1 2023,Births by maternal age,Under 20,532,Number
Oct 1 2023,Births by maternal age,Under 20,559,Number
Jan 1 2024,Births by maternal age,Under 20,502,Number
Apr 1 2024,Births by maternal age,Under 20,511,Number
Jan 1 2022,Births by maternal age,20 to 29,8573,Number
Apr 1 2022,Births by maternal age,20 to 29,8612,Number
Jul 1 2022,Births by maternal age,20 to 29,8944,Number
Oct 1 2022,Births by maternal age,20 to 29,9133,Number
Jan 1 2023,Births by maternal age,20 to 29,8421,Number
Apr 1 2023,Births by maternal age,20 to 29,8326,Number
Jul 1 2023,Births by maternal age,20 to 29,9011,Number
Oct 1 2023,Births by maternal age,20 to 29,9169,Number
Jan 1 2024,Births by maternal age,20 to 29,8918,Number
Apr 1 2024,Births by maternal age,20 to 29,8580,Number
Jan 1 2022,Births by maternal age,30 to 39,12950,Number
Apr 1 2022,Births by maternal age,30 to 39,13535,Number
Jul 1 2022,Births by maternal age,30 to 39,14065,Number
Oct 1 2022,Births by maternal age,30 to 39,14236,Number
Jan 1 2023,Births by maternal age,30 to 39,12662,Number
Apr 1 2023,Births by maternal age,30 to 39,13584,Number
Jul 1 2023,Births by maternal age,30 to 39,13888,Number
Oct 1 2023,Births by maternal age,30 to 39,13888,Number
Jan 1 2024,Births by maternal age,30 to 39,13226,Number
Apr 1 2024,Births by maternal age,30 to 39,13660,Number
Jan 1 2022,Births by maternal age,40+,1714,Number
Apr 1 2022,Births by maternal age,40+,1833,Number
Jul 1 2022,Births by maternal age,40+,1830,Number
Oct 1 2022,Births by maternal age,40+,2008,Number
Jan 1 2023,Births by maternal age,40+,1783,Number
Apr 1 2023,Births by maternal age,40+,1840,Number
Jul 1 2023,Births by maternal age,40+,1847,Number
Oct 1 2023,Births by maternal age,40+,1883,Number
Jan 1 2024,Births by maternal age,40+,1868,Number
Apr 1 2024,Births by maternal age,40+,1805,Number
Jan 1 2022,Births by borough,Bronx,3733,Number
Apr 1 2022,Births by borough,Bronx,3762,Number
Jul 1 2022,Births by borough,Bronx,4042,Number
Oct 1 2022,Births by borough,Bronx,4069,Number
Jan 1 2023,Births by borough,Bronx,3620,Number
Apr 1 2023,Births by borough,Bronx,3665,Number
Jul 1 2023,Births by borough,Bronx,3826,Number
Oct 1 2023,Births by borough,Bronx,3872,Number
Jan 1 2024,Births by borough,Bronx,3641,Number
Apr 1 2024,Births by borough,Bronx,3640,Number
Jan 1 2022,Births by borough,Brooklyn,7924,Number
Apr 1 2022,Births by borough,Brooklyn,8002,Number
Jul 1 2022,Births by borough,Brooklyn,8218,Number
Oct 1 2022,Births by borough,Brooklyn,8660,Number
Jan 1 2023,Births by borough,Brooklyn,7774,Number
Apr 1 2023,Births by borough,Brooklyn,7809,Number
Jul 1 2023,Births by borough,Brooklyn,8254,Number
Oct 1 2023,Births by borough,Brooklyn,8433,Number
Jan 1 2024,Births by borough,Brooklyn,8173,Number
Apr 1 2024,Births by borough,Brooklyn,7838,Number
Jan 1 2022,Births by borough,Manhattan,3156,Number
Apr 1 2022,Births by borough,Manhattan,3307,Number
Jul 1 2022,Births by borough,Manhattan,3338,Number
Oct 1 2022,Births by borough,Manhattan,3288,Number
Jan 1 2023,Births by borough,Manhattan,3033,Number
Apr 1 2023,Births by borough,Manhattan,3411,Number
Jul 1 2023,Births by borough,Manhattan,3345,Number
Oct 1 2023,Births by borough,Manhattan,3438,Number
Jan 1 2024,Births by borough,Manhattan,3384,Number
Apr 1 2024,Births by borough,Manhattan,3605,Number
Jan 1 2022,Births by borough,Queens,4788,Number
Apr 1 2022,Births by borough,Queens,5064,Number
Jul 1 2022,Births by borough,Queens,5266,Number
Oct 1 2022,Births by borough,Queens,5245,Number
Jan 1 2023,Births by borough,Queens,4775,Number
Apr 1 2023,Births by borough,Queens,5121,Number
Jul 1 2023,Births by borough,Queens,5291,Number
Oct 1 2023,Births by borough,Queens,5232,Number
